id,word,freq,thetime
1420170219,프로그램,302,201701
1420170220,솔루션,351,201701
1420170301,전자,1265,201703
1420170302,삼성,1031,201703
1420170303,출시,596,201703
1420170304,브랜드,371,201703
1420170305,반도체,344,201703
1420170306,솔루션,446,201703
1420170307,중국,372,201703
1420170308,데이터,493,201703
1420170309,보안,415,201703
1420170310,게임,274,201703
1420170311,전기,218,201703
1420170312,은행,190,201703
1420170313,클라우드,253,201703
1420170314,디스플레이,264,201703
1420170315,전략,323,201703
1420170316,플랫폼,317,201703
1420170317,대통령,177,201703
1420170318,미국,286,201703
1420170319,oled,199,201703
1420170320,현대,187,201703
